strategy_id,strategy_family,lookback,version,IS_avg_n_symbols,OOS_avg_n_symbols,PSEUDO_LIVE_avg_n_symbols,IS_avg_turnover_daily,OOS_avg_turnover_daily,PSEUDO_LIVE_avg_turnover_daily,IS_hit_rate,OOS_hit_rate,PSEUDO_LIVE_hit_rate,IS_max_drawdown,OOS_max_drawdown,PSEUDO_LIVE_max_drawdown,IS_mean_ann,OOS_mean_ann,PSEUDO_LIVE_mean_ann,IS_mean_daily,OOS_mean_daily,PSEUDO_LIVE_mean_daily,IS_n_obs,OOS_n_obs,PSEUDO_LIVE_n_obs,IS_sharpe,OOS_sharpe,PSEUDO_LIVE_sharpe,IS_t_stat,OOS_t_stat,PSEUDO_LIVE_t_stat,IS_vol_ann,OOS_vol_ann,PSEUDO_LIVE_vol_ann,OOS_decay_ann,PSEUDO_LIVE_decay_ann,OOS_retention_ratio,PSEUDO_LIVE_retention_ratio,OOS_sharpe_retention,PSEUDO_LIVE_sharpe_retention,decay_flag,selection_score,eligible_for_selection,selection_IS_mean_ann,selection_IS_sharpe,selection_IS_t_stat,selection_IS_max_drawdown,selection_IS_avg_turnover_daily
BREAKOUT_20_long_flat,BREAKOUT,20,long_flat,20.74644351464435,23.615702479338843,27.0,0.022041333840497022,0.02301110664088266,0.02298419836362501,0.5447698744769874,0.5413223140495868,0.521079258010118,-0.1219951989155178,-0.11770044798011248,-0.09622466252549333,0.08934618247965417,0.049307987643273925,0.03549040529354111,0.0003545483431732309,0.0001956666176320394,0.00014083494164103614,1195,726,593,1.01262419403595,0.4913269145935356,0.40542576537160213,2.205118748579262,0.833947277331533,0.6219255824214311,0.0882323205448538,0.10035678115469286,0.08753860342598498,-0.04003819483638025,-0.05385577718611306,0.5518757072189658,0.39722352213115486,0.4852016350066515,0.4003713991423839,PARTIAL_DECAY,0.9949143406842739,True,0.08934618247965417,1.01262419403595,2.205118748579262,-0.1219951989155178,0.022041333840497022
TSMOM_20_long_flat,TSMOM,20,long_flat,20.74644351464435,23.615702479338843,27.0,0.09895017116774439,0.09469831068795015,0.10386609206170756,0.5389121338912134,0.5289256198347108,0.5193929173693086,-0.11105520696364557,-0.10430535120209794,-0.09734722124727324,0.08703276846396035,0.05285338093399993,0.02068810076728933,0.0003453681288252395,0.00020973563862698385,8.209563796543385e-05,1195,726,593,1.0009469066006178,0.5273628247055655,0.24099706758406944,2.179689961070669,0.8951123554729422,0.3696909629848055,0.08695043452358339,0.10022204535086211,0.0858437862945054,-0.03417938752996042,-0.06634466769667102,0.6072813937417851,0.23770473044134088,0.5268639337690522,0.2407690817513344,SEVERE_DECAY,0.9651038431123171,True,0.08703276846396035,1.0009469066006178,2.179689961070669,-0.11105520696364557,0.09895017116774439
MA_20_long_flat,MA,20,long_flat,20.747491638795985,23.62258953168044,27.0,0.11709449970319535,0.11690614628182003,0.12066704140903127,0.5192307692307693,0.5165289256198347,0.5092748735244519,-0.13679073363432237,-0.1192987267291249,-0.11977824247813007,0.07064264172017685,0.04960386937485289,6.486349604884396e-05,0.00028032794333403516,0.00019684075148751145,2.573948255906506e-07,1196,726,593,0.8405902655319712,0.4953659530309248,0.0007620205289133541,1.8312585938153667,0.8408028861081958,0.001168944111944002,0.08403932881077364,0.10013580681382882,0.0851204050123685,-0.021038772345323968,-0.07057777822412802,0.7021802719572575,0.0009181918239379451,0.5893072681699808,0.0009065302801610556,SEVERE_DECAY,0.7976375672427402,True,0.07064264172017685,0.8405902655319712,1.8312585938153667,-0.13679073363432237,0.11709449970319535
MA_60_long_flat,MA,60,long_flat,20.70415224913495,23.34710743801653,27.0,0.061708346440180355,0.06287004293621852,0.06789082505777277,0.5337370242214533,0.5206611570247934,0.5177065767284992,-0.14736249631779486,-0.10912613381367187,-0.11546823826214603,0.06365869298803341,0.040075297427675155,0.028191991999262613,0.00025261386106362465,0.00015902895804632998,0.00011187298412405799,1156,726,593,0.709977783796374,0.3813064222080911,0.32635086123798007,1.5206294804381817,0.6472054413964508,0.5006242000015304,0.08966293656068978,0.10509998020910538,0.08638552964842516,-0.023583395560358253,-0.03546670098877079,0.6295337768748807,0.44286162150018,0.5370681039752817,0.4596634834021504,PARTIAL_DECAY,0.6798144475545495,True,0.06365869298803341,0.709977783796374,1.5206294804381817,-0.14736249631779486,0.061708346440180355
MA_10_long_flat,MA,10,long_flat,20.75787728026534,23.691460055096417,27.0,0.170747991643514,0.1739639357572643,0.16651052401473984,0.5232172470978441,0.5055096418732782,0.521079258010118,-0.14066125132008322,-0.15722459610231765,-0.1140442488196759,0.05740893232326119,0.028925862069545207,-0.0019126693956130513,0.00022781322350500473,0.0001147851669426397,-7.58995791909941e-06,1206,726,593,0.7027541214244164,0.29632773705469445,-0.02249853679512264,1.537364275008023,0.5029679876564779,-0.03451289186594145,0.08169134918326583,0.09761442636807988,0.08501305720591085,-0.028483070253715985,-0.05932160171887424,0.5038564714401579,-0.03331658190128138,0.4216663097671573,-0.03201480590326561,DECAYED_TO_NEGATIVE,0.6460009983815296,True,0.05740893232326119,0.7027541214244164,1.537364275008023,-0.14066125132008322,0.170747991643514
BREAKOUT_20_long_short,BREAKOUT,20,long_short,20.6756077116513,23.524793388429753,27.0,0.044100145134850936,0.046135039319552436,0.04596839672725002,0.5046102263202011,0.5454545454545454,0.521079258010118,-0.12530708974917326,-0.13254040665711808,-0.13666440613272612,0.05978264188499916,0.04268447535506008,0.03385435602727623,0.0002372327058928538,0.00016938283871055585,0.00013434268264792156,1193,726,593,0.6400062194334837,0.3662979755264116,0.3448766313597668,1.3925286714010676,0.6217310517886343,0.5290428437012897,0.093409470204707,0.11652937828476301,0.09816367056763611,-0.017098166529939084,-0.02592828585772293,0.7139944640982919,0.5662907318883655,0.5723350248856155,0.5388644998872704,PARTIAL_DECAY,0.6164504741748535,True,0.05978264188499916,0.6400062194334837,1.3925286714010676,-0.12530708974917326,0.044100145134850936
TSMOM_20_long_short,TSMOM,20,long_short,20.74644351464435,23.615702479338843,27.0,0.19782245648354432,0.18944801279422188,0.20773218412341513,0.5129707112970712,0.522038567493113,0.5278246205733558,-0.10669371413209316,-0.14664552663954633,-0.1517763541228231,0.0480857894454925,0.05012004661012916,0.004249746974772646,0.0001908166247837004,0.00019888907384971887,1.686407529671685e-05,1195,726,593,0.5156481214239418,0.42837504015227545,0.044764259161753375,1.1228897619853253,0.727096741092059,0.06866864498688174,0.09325310700775076,0.11700038964061228,0.09493616233916441,0.002034257164636656,-0.04383604247071986,1.0423047471632463,0.08837843828247706,0.8307507045101509,0.08681164015130832,SEVERE_DECAY,0.4555231358898464,True,0.0480857894454925,0.5156481214239418,1.1228897619853253,-0.10669371413209316,0.19782245648354432
REVERSAL_5_long_flat,REVERSAL,5,long_flat,20.76198347107438,23.71900826446281,27.0,0.20520696933920074,0.20036491845989987,0.20161139216788457,0.5421487603305785,0.5192837465564738,0.4822934232715008,-0.19747191289224608,-0.21305994369331638,-0.1390897528946735,0.03886000629240438,-0.027200798106613855,-0.026838978659121424,0.00015420637417620786,-0.00010793967502624546,-0.00010650388356794215,1210,726,593,0.5221383550520644,-0.2812205133970137,-0.3873768202000239,1.1441369499798826,-0.47732594024740416,-0.5942383910865696,0.07442473037348406,0.09672408949845372,0.06928390461066562,-0.06606080439901824,-0.0656989849515258,-0.699968957851933,-0.6906581140818652,-0.5385938624810892,-0.7419045478116563,DECAYED_TO_NEGATIVE,0.45108942142803965,True,0.03886000629240438,0.5221383550520644,1.1441369499798826,-0.19747191289224608,0.20520696933920074
TSMOM_60_long_flat,TSMOM,60,long_flat,20.703030303030303,23.340220385674932,27.0,0.060591255786060984,0.05405175356576722,0.05508712759977515,0.529004329004329,0.5151515151515151,0.5227655986509275,-0.19812332115558284,-0.1383970306841109,-0.10282033561276627,0.041855007453157705,0.04648576310674236,0.00794458237341143,0.0001660912994172925,0.00018446731391564427,3.1526120529410436e-05,1155,726,593,0.4548634759812227,0.4324826805096204,0.09866493544860253,0.973804523419811,0.7340687904354151,0.1513526092432781,0.09201663721816507,0.10748583747207029,0.08052082877558865,0.004630755653584652,-0.03391042507974627,1.1106380319909677,0.1898119928016417,0.950796674929059,0.21691109675439305,SEVERE_DECAY,0.41990332991914914,True,0.041855007453157705,0.4548634759812227,0.973804523419811,-0.19812332115558284,0.060591255786060984
BREAKOUT_60_long_flat,BREAKOUT,60,long_flat,20.703030303030303,23.340220385674932,27.0,0.009461779202038943,0.009086963982460448,0.00918118793329586,0.5177489177489177,0.5179063360881543,0.5193929173693086,-0.21789798535077054,-0.15930298548028032,-0.11767019395674794,0.039616614373361864,0.03890714261555859,0.0038627297437825257,0.0001572087871958804,0.00015439342307761345,1.532829263405764e-05,1155,726,593,0.43691877866507084,0.35413204982644836,0.04991386662448427,0.9353872216565244,0.6010813777887978,0.07656817405989262,0.09067272066996873,0.10986620000823435,0.07738790851133419,-0.0007094717578032747,-0.03575388462957934,0.9820915600935267,0.09750277263419607,0.810521467876563,0.11424060732062694,SEVERE_DECAY,0.41276353532948407,True,0.039616614373361864,0.43691877866507084,0.9353872216565244,-0.21789798535077054,0.009461779202038943
