symbol,sample_start,sample_end,sample_size,reliability,mean_pct,std_pct,min_pct,max_pct,q01_pct,q05_pct,q95_pct,q99_pct,skew,excess_kurtosis,raw_kurtosis,adf_stat,adf_pvalue,ret_lb_p_lag5,ret_lb_p_lag10,ret_lb_p_lag20,ret_lb_p_lag30,ret2_lb_p_lag5,ret2_lb_p_lag10,ret2_lb_p_lag20,ret2_lb_p_lag30,arch_lm_p_lag5,arch_lm_p_lag10,arch_lm_p_lag20
AG,2016-01-06,2026-06-18,2537,HIGH,0.06326692649382155,1.8759530301842342,-14.906672008418331,12.1024275098651,-5.631737105993785,-2.546543962050744,2.856431675101159,5.506250936680664,-0.6239295554264508,10.806988215172886,13.806988215172886,-8.149948019767038,9.756892881405254e-13,0.08976363211829955,0.00037511586557177905,0.0002789676458477687,7.425822907620075e-08,1.9275367588297448e-296,0.0,0.0,0.0,7.383838595402504e-139,7.251520867011807e-138,1.445034678448894e-151
AL,2016-01-06,2026-06-18,2537,HIGH,0.03155126757710151,1.115525052663964,-6.51412773957173,5.34715415550505,-3.280653085675253,-1.7132461740645921,1.7417940765244608,2.9567500627725605,-0.48578690948942616,4.1639050077961866,7.1639050077961866,-30.722025944551092,0.0,0.3280625273283061,0.33271940922914367,0.10938029745812614,0.023611933557728677,2.2649761906458713e-52,9.809826874238732e-67,4.775046880305414e-106,1.1239861635592853e-117,1.9614056897298275e-34,3.969303722053758e-36,9.716260920142165e-41
AU,2016-01-06,2026-06-18,2537,HIGH,0.05535374447564265,0.9923964598962374,-14.108016374288452,8.10763562244713,-2.708101095082233,-1.2662407515975598,1.403031985981784,2.8351588773590866,-1.4812781167275841,26.159098955162534,29.159098955162534,-14.175934689141815,1.966150393635279e-26,1.4767832779711002e-06,2.7318484339708883e-06,3.718856425942394e-07,2.2885802087729234e-08,1.3651880401765594e-153,2.1828154628430646e-155,1.2775345926166454e-153,3.429836000809301e-232,1.2850720776158259e-107,3.2063968710336303e-103,1.7863025764890266e-96
CF,2016-01-06,2026-06-18,2537,HIGH,0.014083553358595501,1.254271194823651,-7.93337391929364,7.19197599546958,-3.731423381235677,-1.9575455131016959,1.9093791799446058,3.7040361577092566,-0.16585527247870693,4.993614016612798,7.993614016612798,-23.302517645541677,0.0,0.013942303536727619,0.10984670137826323,0.0690760463804919,0.03914064474676561,8.211996518697531e-80,2.864234375814587e-93,9.46327045991446e-122,4.376767439994701e-130,6.082981014318625e-48,5.859484369349512e-46,1.5515624220398516e-46
CU,2016-01-06,2026-06-18,2537,HIGH,0.041469764877767386,1.1082359019806047,-6.848577208460401,6.16020801012254,-2.8894099778387297,-1.6390443919685838,1.772590840712292,3.068089610370231,-0.07910704428540112,4.923737565920139,7.923737565920139,-51.99819947285612,0.0,0.07761457358038959,0.18923805098701624,0.5660100898167024,0.750440881878307,4.316812735606476e-115,3.026745538521746e-123,8.384739164449877e-131,1.399119900174577e-126,5.651793833038818e-68,3.212980867053708e-66,1.1664894995699757e-61
FG,2016-01-06,2026-06-18,2537,HIGH,0.006515156282992351,1.8780808700565264,-12.07137474044642,14.932363907894231,-5.041224146365797,-2.93342280311503,3.0021608236303865,5.278213721290763,0.15944602024437146,5.018738369771735,8.018738369771736,-51.50023789746266,0.0,0.5897060716203031,0.5395189337844712,0.47365878439077436,0.15697168736341272,8.23688303214102e-13,7.645376023620743e-28,1.593311491696021e-59,1.9762177739711072e-64,4.194893885441281e-10,4.851775097241949e-17,5.784161953372804e-25
HC,2016-01-06,2026-06-18,2537,HIGH,0.021156415045476634,1.576472437239222,-8.13215710805159,8.23978171320569,-4.88466825186975,-2.653182964177638,2.4178984596690705,4.174680446284549,-0.42949849379237776,3.3417009926412122,6.341700992641212,-23.14080648667278,0.0,0.01010791818782583,0.06420217286711834,0.01672752719670788,0.03290513157387504,1.4457743180184927e-47,4.845505342287308e-85,4.7738643880210865e-141,6.604416140259073e-171,1.2085825753869507e-30,2.7363384712473402e-37,5.909634875456883e-38
I,2016-01-06,2026-06-18,2537,HIGH,0.032864787110313855,2.465732847860595,-19.065311123668142,9.10587309469665,-7.541389684594241,-3.949189015124542,3.789809198674161,6.031748239813114,-0.8307160052910345,4.65186241210929,7.65186241210929,-21.34701565761515,0.0,0.00035312113700673546,0.0004789646528870384,0.0003027768468254636,0.00018061484180379147,4.944595103792723e-10,4.48276427075046e-20,1.6152702677598276e-30,3.2538024246102995e-37,2.6006645899182574e-08,7.242511469620208e-13,6.153081645853036e-13
JM,2016-01-06,2026-06-18,2537,HIGH,0.03223643538300163,2.5665488154748535,-20.60834285689014,14.18073019283824,-7.466461592862958,-4.063846660714735,4.039318797238614,6.386516006423143,-0.4873475621916396,5.092162743607216,8.092162743607215,-51.38104550648302,0.0,0.09873862138260533,0.42888157820385503,0.24473155277595318,0.5280181101371246,2.6222461257163742e-14,1.518192030445178e-29,3.047616265855308e-51,7.948564986026836e-58,4.10189838595263e-11,1.2370835482692406e-16,6.750343176633668e-18
M,2016-01-06,2026-06-18,2537,HIGH,0.008973490841686435,1.350209735320297,-15.17235957383813,7.3600357929624,-3.345798897677114,-1.874894947958606,1.9265975214874218,3.5186896076380476,-1.6223814116665525,20.733827878880483,23.733827878880483,-50.01393788094392,0.0,0.7288741046592162,0.9055809903769043,0.5117040815079693,0.3581869506532269,0.9988364577515408,0.9998239781524818,0.9999999977668189,0.9999998548670846,0.9988225303717557,0.9998263272558388,0.9999999980037769
MA,2016-01-06,2026-06-18,2537,HIGH,0.015244008658082798,1.783524616404516,-12.93184949456496,9.016443130548051,-4.609197447642328,-2.7093751428441477,2.8404606773822354,4.59176205485566,-0.1698116889160893,4.27344972410217,7.27344972410217,-17.228495362925077,6.214488042205169e-30,0.07254323954622327,0.029119754562898167,0.032524220008494024,0.10539351971331225,5.5365673198838904e-65,4.8938606509542105e-127,5.661510806594554e-190,3.4304934729594445e-214,2.206225590363906e-43,3.0118763874310363e-56,2.381559383074817e-56
OI,2016-01-06,2026-06-18,2537,HIGH,0.020922905902612695,1.2420193362312866,-7.168769566596089,5.99803610833159,-3.3562105210069437,-1.9827052977210815,1.9676530203587197,3.3764101017436854,-0.1526989552030087,2.890883181239091,5.890883181239091,-49.83709698749369,0.0,0.9741888588881736,0.9904495616405826,0.9263326982931647,0.7556319027111099,3.5659195839130898e-09,6.531212194778701e-17,1.5666602066116168e-24,1.3970452571173135e-32,1.9446316385883767e-07,1.3177849488299722e-10,1.34932960905671e-10
P,2016-01-06,2026-06-18,2537,HIGH,0.025779818230499716,1.6610678522762548,-13.75927559502195,7.863408167933759,-4.826539881259282,-2.574288600450628,2.602043560059503,3.7698512348211124,-0.7861792176856105,5.874074509801603,8.874074509801602,-51.55019345010723,0.0,0.14610751519185047,0.08509021786125216,0.15414514563645945,0.008441055629600177,4.176598764613081e-14,2.8124994413367694e-28,1.1317230566537346e-58,1.499721531056216e-73,3.754697488108254e-11,1.0535702318408418e-16,7.646213316623746e-24
RB,2016-01-06,2026-06-18,2537,HIGH,0.022061318006215414,1.6244854330135665,-10.34695992401574,6.65273925800443,-4.87500058038614,-2.5960807293399037,2.5287464150722094,4.209325148591562,-0.44547986878551005,3.5639848383531874,6.563984838353187,-22.844532513605866,0.0,0.053303413978427173,0.25124968549637633,0.1695219587465324,0.17148046662140096,2.0593944355458434e-32,2.995537946713475e-72,8.030845801925464e-117,1.1298499355469388e-136,6.198198313751062e-23,1.268410367438364e-35,3.3644205266005835e-37
RU,2016-01-06,2026-06-18,2537,HIGH,0.021953037373503296,1.745002087565648,-8.09740473176141,17.578297995437207,-5.037464516504648,-2.4580163473347896,2.606353353898851,4.798943035607984,0.8020304215832272,10.053969035231443,13.053969035231443,-50.23581599286864,0.0,0.7536645463290278,0.8944243170442643,0.9205472446002694,0.46044151157381574,0.6360967305489101,0.1453197470788795,0.15092104243335022,0.35354404351795937,0.651176753190941,0.19581779289567594,0.2871199878532607
SN,2016-01-06,2026-06-18,2537,HIGH,0.058890944604047375,1.68776184270562,-11.72398395956929,10.00401413232143,-4.6824310398960804,-2.481107764722292,2.7233696879565894,4.728070712270974,-0.16181187902347022,6.50570714968645,9.505707149686451,-26.73853588511178,0.0,0.041642190970416104,0.12829584975419023,0.03259292088022398,0.0005930334051243201,6.453360574135761e-120,2.4514624516306742e-172,1.1079729673373375e-265,0.0,2.823087330724213e-69,2.284500007860138e-72,2.307095894558014e-75
SR,2016-01-06,2026-06-18,2537,HIGH,-0.002014769689129093,0.8405263113936445,-5.89114698253122,5.803307163833249,-2.1912700620664336,-1.340118358162888,1.3036487332958804,2.3312875813128477,0.05571357476900843,3.8738536911359835,6.8738536911359835,-52.06225179368064,0.0,0.04013765331277805,0.12821673553616708,0.11583059220930021,0.29526444522403134,0.1787274106977499,0.46811222829027455,0.00038241575722829075,0.0021761732757027826,0.18572856796460335,0.5030764904188197,0.002008498298977401
TA,2016-01-06,2026-06-18,2537,HIGH,0.01056786330549236,1.5981713176793666,-8.40188560531759,7.41528524355776,-4.564405391623067,-2.545064032063382,2.6587218443760854,4.426130198579594,-0.028190742400344332,3.1972457646030605,6.1972457646030605,-11.937994401773446,4.613763840257934e-22,0.07897709858360678,0.20555212363955833,8.184132704694704e-05,0.00010261059209572723,7.500776219541934e-55,6.919124631365493e-94,1.7537822208403534e-152,1.4223902530682842e-169,4.241070629040609e-36,2.0075086606054876e-43,6.694438624785109e-50
V,2016-01-06,2026-06-18,2537,HIGH,-0.0016227258538379682,1.4204484038864622,-8.34939621777513,7.09067476692355,-4.2235499087156425,-2.194279684329238,2.280277183669351,3.67789505103337,-0.09387772035741143,3.6569354196317656,6.656935419631766,-22.936112382917457,0.0,0.010777185963433836,0.007519819910044454,0.006499454095998948,0.007607326402696834,3.0628194992796556e-103,7.693444736123283e-195,0.0,0.0,2.1615357832851947e-65,6.261927106498785e-76,1.4499426576928737e-82
Y,2016-01-06,2026-06-18,2537,HIGH,0.015049419207066811,1.2508929777415165,-8.048792210970939,5.72301699266894,-3.779016608527124,-1.9953153658367802,1.923144089105127,3.246253105690322,-0.45881592674089433,3.4973836351514462,6.497383635151446,-50.30598403890764,0.0,0.4648292523622597,0.08140138277045306,0.11532499935019276,0.021231226140221444,1.6971501526819264e-10,1.7836357754791106e-37,3.8053380385146066e-62,1.866064218711314e-85,1.1938140052015634e-08,1.9482887987174146e-23,7.104003276289676e-27
