symbol,best_model_name,best_status,sample_size,reliability,diag_n,lb_z_p_lag10,lb_z2_p_lag10,arch_lm_p_lag10,traditional_diag_pass
AG,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.09867775930398229,0.214679716519996,0.28098021170164916,True
AL,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.5203645053073183,0.08694968817038025,0.08827896757177546,True
AU,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.7451366962701333,0.11965632042197265,0.13928076772160758,True
CF,10_EGARCH21_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.18171524309633547,0.842680409067352,0.8497584574913846,True
CU,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2536,0.060699509187965316,0.3042331560559078,0.3226444502308513,True
FG,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2536,0.9013508307722813,0.9384658637705827,0.9473650025723577,True
HC,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2536,0.6804057227301487,0.9223816086184685,0.9211174870664866,True
I,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.1003757077352231,0.8100234478132884,0.8186318533806547,True
JM,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2536,0.570755020089077,0.9787330159439468,0.9794473082473346,True
M,14_TARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.9369048212283488,0.992898697063835,0.9914650389509809,True
MA,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.6974269570407887,0.3503423466919582,0.3775131712863249,True
OI,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.9568408643949128,0.8970014637648602,0.9066550438537977,True
P,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.07989094730549465,0.4494718333395292,0.48507239961605586,True
RB,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2536,0.8092260683176221,0.9509764781643536,0.94934074799748,True
RU,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.9055514892501798,0.995614528073855,0.9957846672186895,True
SN,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2536,0.18179802780686444,0.18203705762949793,0.21399600236515542,True
SR,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.3283192749389414,0.8614539660663634,0.8684378332728466,True
TA,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.8082394690313981,0.5121649437206044,0.5372459276977968,True
V,03_GARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.3681209647103618,0.9607187749101825,0.964178981041338,True
Y,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,2537,HIGH,2537,0.4332329882677063,0.9588211682187273,0.9614821782460945,True
